texto,intent
me chamaram de macaco,RACISMO
me zoaram por ser negro,RACISMO
me ofenderam pela cor da pele,RACISMO
disseram que preto não presta,RACISMO
sofri piada racista na escola,RACISMO
me chamaram de escravo,RACISMO
comentaram ofensa racial no trabalho,RACISMO
me chamaram de preto safado,RACISMO
usaram apelido racista comigo,RACISMO
me chamaram de negro imundo,RACISMO
falaram que preto não deveria estar aqui,RACISMO
me mandaram voltar pra senzala,RACISMO
me chamaram de crioulo,RACISMO
disseram que gente da minha cor não presta,RACISMO
falaram que eu só consegui emprego por cota,RACISMO
me zoaram por causa da minha cor de pele,RACISMO
me chamaram de neguinho de forma ofensiva,RACISMO
fizeram piada racista comigo na internet,RACISMO
gritaram ofensas raciais na rua,RACISMO
disseram que minha cor é motivo de vergonha,RACISMO
me compararam a um animal por ser negro,RACISMO
alguém disse que preto é inferior,RACISMO
falaram que eu parecia escravo,RACISMO
postaram meme racista sobre mim,RACISMO
me chamaram de negro sujo,RACISMO
me zoaram por ser africano,RACISMO
falaram que preto não devia estudar,RACISMO
me chamaram de macaco em público,RACISMO
me chamaram de cor de carvão,RACISMO
me humilharam por ser negro,RACISMO
me zoaram pq sou negro,RACISMO
falou que preto fede,RACISMO
me chamaro de macaco no jogo,RACISMO
um cara disse q preto n presta,RACISMO
gritaram macaco pra mim na rua,RACISMO
postaram piada racista no grupo,RACISMO
um moleque me chamou de carvão,RACISMO
me chamaram de neguim de forma ofensiva,RACISMO
disseram que minha cor é motivo de piada,RACISMO
me zoaram chamando de senzala,RACISMO
um cara falou q sou preto sujo,RACISMO
me chamaram de crioulo nojento,RACISMO
postaram meme racista com minha foto,RACISMO
um jogador me xingou de preto lixo,RACISMO
me chamaram de escravinho,RACISMO
disseram q preto só serve pra sofrer,RACISMO
me compararam a gorila,RACISMO
me chamaram de negão safado,RACISMO
falaram q eu parecia animal,RACISMO
alguém falou q preto é preguiçoso,RACISMO
me zoaram na escola por ser negro,RACISMO
mandaram msg racista no insta,RACISMO
um cara me chamou de macaco fedido,RACISMO
me falaram q preto devia calar boca,RACISMO
me chamaram de neguinho lixo,RACISMO
disseram q eu n devia estudar pq sou preto,RACISMO
um desconhecido me chamou de escravo,RACISMO
me humilharam pela minha cor de pele,RACISMO
falou q preto não tem valor,RACISMO
me xingaram de neguim ridículo,RACISMO
gritaram negro imundo pra mim,RACISMO
um cara disse q eu era macaco jogando bola,RACISMO
me chamaram de urubu,RACISMO
disseram q minha pele é feia,RACISMO
me zoaram chamando de neguim da senzala,RACISMO
me chamaram de animal preto,RACISMO
um cara falou q minha cor é piada,RACISMO
me chamaram de escravo velho,RACISMO
falaram q preto é burro,RACISMO
me compararam a chimpanzé,RACISMO
me mandaram sair do grupo pq sou negro,RACISMO
um vizinho falou q preto é ladrão,RACISMO
me chamaram de pretinho com deboche,RACISMO
me xingaram de negrão safado,RACISMO
disseram q preto só dá problema,RACISMO
alguém falou q eu devia voltar pra senzala,RACISMO
me zoaram chamando de carvão humano,RACISMO
um cara disse q minha cor é piada,RACISMO
me chamaram de neguinho fedido,RACISMO
postaram comentário racista na minha foto,RACISMO
um colega falou q preto não devia existir,RACISMO
disseram que vão me bater,AMEACA
um cara falou que vai me matar,AMEACA
recebi ameaça de morte por mensagem,AMEACA
falaram que iam me quebrar na porrada,AMEACA
prometeram me agredir na saída,AMEACA
mandaram mensagem me ameaçando,AMEACA
me ligaram falando que iam me pegar,AMEACA
me xingaram e falaram que iam me bater,AMEACA
um vizinho me fez ameaça grave,AMEACA
ameaçaram machucar minha família,AMEACA
prometeram acabar com a minha vida,AMEACA
disseram que iam me dar um tiro,AMEACA
me ameaçaram com faca,AMEACA
falaram que iam me caçar até em casa,AMEACA
mandaram mensagem dizendo que vão me pegar,AMEACA
um grupo disse que vai me agredir,AMEACA
ameaçaram jogar pedra na minha casa,AMEACA
disseram que iam me dar uma surra,AMEACA
me ameaçaram de morte na internet,AMEACA
gritaram que iam me quebrar todo,AMEACA
falaram que eu não ia escapar vivo,AMEACA
me ameaçaram de agressão física,AMEACA
disseram que iam destruir minha família,AMEACA
mandaram recado que iam me matar,AMEACA
me disseram que eu ia apanhar na escola,AMEACA
ameaçaram invadir minha casa,AMEACA
alguém disse que vai me caçar no trabalho,AMEACA
me avisaram que vão me bater na saída,AMEACA
me ameaçaram no grupo do whatsapp,AMEACA
falaram que iam me dar paulada,AMEACA
disseram q iam me quebrar na porrada,AMEACA
um cara mandou msg falando q ia me matar,AMEACA
me ameaçaram de dar tiro,AMEACA
falaram q iam me arrebentar,AMEACA
me mandaram áudio dizendo q iam me pegar,AMEACA
um vizinho disse q ia me bater,AMEACA
um cara falou q eu ia apanhar feio,AMEACA
me ameaçaram de quebrar meus ossos,AMEACA
alguém disse q ia me perseguir até me pegar,AMEACA
recebi msg de morte,AMEACA
gritaram q iam me matar na rua,AMEACA
disseram q iam invadir minha casa,AMEACA
um cara falou q ia destruir minha família,AMEACA
mandaram msg falando q iam me esfaquear,AMEACA
um colega disse q eu ia me arrepender,AMEACA
falaram q iam me dar surra pesada,AMEACA
ameaçaram me agredir na saída da escola,AMEACA
um cara mandou q eu ia morrer logo,AMEACA
me ameaçaram no zap,AMEACA
um estranho disse q ia me espancar,AMEACA
recebi ameaça de agressão,AMEACA
falaram q eu não passaria dessa semana,AMEACA
ameaçaram bater na minha família,AMEACA
um grupo disse q iam me linchar,AMEACA
disseram q iam me caçar na rua,AMEACA
me ameaçaram de cortar meu rosto,AMEACA
falaram q iam jogar pedra em mim,AMEACA
um cara me ameaçou no facebook,AMEACA
mandaram msg falando q iam me arrebentar,AMEACA
um colega disse q ia me socar,AMEACA
disseram q iam quebrar minha cara,AMEACA
me ameaçaram de agressão física,AMEACA
um vizinho disse q eu ia apanhar,AMEACA
ameaçaram de morte por ligação,AMEACA
um cara falou q eu ia ser apagado,AMEACA
me ameaçaram na saída do trabalho,AMEACA
disseram q iam armar emboscada,AMEACA
um colega mandou recado de ameaça,AMEACA
me ameaçaram por mensagem direta,AMEACA
um cara disse q ia me dar facada,AMEACA
falaram q iam acabar comigo,AMEACA
um vizinho falou q ia me matar,AMEACA
recebi msg de ameaça séria,AMEACA
um cara me ameaçou pessoalmente,AMEACA
gritaram q iam me dar uma surra,AMEACA
me ameaçaram de quebrar tudo em casa,AMEACA
disseram q eu ia sofrer acidente,AMEACA
um cara mandou q ia me caçar,AMEACA
me ameaçaram de agressão pesada,AMEACA
falaram q iam me matar se denunciasse,AMEACA
espalharam mentiras sobre mim,HONRA
me chamaram de ladrão sem eu ser,HONRA
postaram difamação sobre mim,HONRA
falaram calúnia no grupo de whatsapp,HONRA
me acusaram injustamente,HONRA
disseram que eu roubei sem provas,HONRA
estão falando mal da minha reputação,HONRA
espalharam fake news sobre mim,HONRA
me chamaram de safado em público,HONRA
um colega inventou histórias falsas,HONRA
me chamaram de vagabundo,HONRA
falaram que sou corno,HONRA
espalharam fofoca mentirosa sobre mim,HONRA
me acusaram de ser preguiçoso,HONRA
me chamaram de inútil no trabalho,HONRA
disseram que não presto pra nada,HONRA
me chamaram de safada na rua,HONRA
postaram mentira sobre mim no facebook,HONRA
me acusaram de roubo sem provas,HONRA
espalharam boatos falsos na vizinhança,HONRA
me chamaram de sem vergonha em público,HONRA
disseram que eu era desonesto,HONRA
me acusaram de traição sem eu ter feito nada,HONRA
falaram que eu era cachaceiro,HONRA
me chamaram de prostituta,HONRA
espalharam vídeo falso sobre mim,HONRA
falaram que eu era mau caráter,HONRA
me chamaram de burra,HONRA
me acusaram de ser drogado,HONRA
falaram mal da minha reputação no trabalho,HONRA
me chamaram de inútil na frente de todos,HONRA
um cara me chamou de corno safado,HONRA
disseram q eu era preguiçoso,HONRA
me chamaram de burro no trabalho,HONRA
espalharam fofoca falsa sobre mim,HONRA
me acusaram de ser vagabundo,HONRA
me chamaram de sem vergonha,HONRA
um colega disse q eu era desonesto,HONRA
me chamaram de cachaceiro,HONRA
falaram q eu era mal caráter,HONRA
espalharam boatos na empresa,HONRA
me chamaram de corna,HONRA
disseram q eu era prostituta,HONRA
me acusaram de roubar dinheiro,HONRA
postaram mentira sobre mim na internet,HONRA
me chamaram de lixo humano,HONRA
falaram q eu era sem futuro,HONRA
espalharam fake news sobre meu nome,HONRA
me chamaram de fracassado,HONRA
um colega disse q eu era otário,HONRA
me chamaram de vagabunda,HONRA
disseram q eu era traidor,HONRA
me acusaram sem provas,HONRA
espalharam calúnia contra mim,HONRA
falaram q eu não valho nada,HONRA
me chamaram de mole,HONRA
um cara falou q eu era frouxo,HONRA
disseram q eu era golpista,HONRA
me chamaram de pilantra,HONRA
espalharam boatos ridículos sobre mim,HONRA
me chamaram de banana,HONRA
falaram q eu era bosta,HONRA
me acusaram de ser desonesto,HONRA
um colega falou q eu era ignorante,HONRA
me chamaram de retardado,HONRA
falaram q eu era covarde,HONRA
espalharam difamação contra mim,HONRA
me chamaram de ridículo,HONRA
um cara disse q eu era sem moral,HONRA
me chamaram de corno manso,HONRA
espalharam mentira pesada sobre mim,HONRA
me chamaram de babaca,HONRA
falaram q eu era otário,HONRA
me acusaram de coisa q não fiz,HONRA
postaram vídeo falso sobre mim,HONRA
me chamaram de trouxa,HONRA
um colega disse q eu era sujo,HONRA
me chamaram de porcaria,HONRA
falaram q eu era falido,HONRA
espalharam boato nojento sobre mim,HONRA
um cara fica me seguindo todo dia,PERSEGUICAO
estão me perseguindo no instagram,PERSEGUICAO
recebo mensagens insistentes de um estranho,PERSEGUICAO
um homem me persegue até em casa,PERSEGUICAO
estão me stalkeando nas redes sociais,PERSEGUICAO
ficam me rondando perto do trabalho,PERSEGUICAO
me mandam mensagens sem parar,PERSEGUICAO
um vizinho me segue quando saio,PERSEGUICAO
me perseguem até a faculdade,PERSEGUICAO
um ex não para de me procurar,PERSEGUICAO
um cara me espera todo dia na saída do trabalho,PERSEGUICAO
ficam me seguindo no metrô,PERSEGUICAO
me perseguem na rua sempre que saio,PERSEGUICAO
um estranho aparece em todo lugar que vou,PERSEGUICAO
alguém fica atrás de mim na faculdade,PERSEGUICAO
estão stalkeando todas as minhas redes sociais,PERSEGUICAO
um vizinho fica parado na porta da minha casa,PERSEGUICAO
um carro me segue quando vou trabalhar,PERSEGUICAO
me ligam sem parar todos os dias,PERSEGUICAO
me perseguem no shopping,PERSEGUICAO
um ex namorado não para de me mandar mensagem,PERSEGUICAO
alguém fica anotando onde eu vou,PERSEGUICAO
estão me observando em todo lugar,PERSEGUICAO
me mandam mensagens insistentes no whatsapp,PERSEGUICAO
fico recebendo presentes indesejados em casa,PERSEGUICAO
um homem fica rondando perto do meu prédio,PERSEGUICAO
me perseguem até quando viajo,PERSEGUICAO
alguém aparece toda vez que saio de casa,PERSEGUICAO
um conhecido não respeita meu espaço,PERSEGUICAO
um colega de classe fica me vigiando,PERSEGUICAO
um cara fica na porta da minha casa todo dia,PERSEGUICAO
me perseguem até no mercado,PERSEGUICAO
um homem aparece em todo lugar q vou,PERSEGUICAO
um vizinho fica rondando minha rua,PERSEGUICAO
me seguem até no ônibus,PERSEGUICAO
um cara me stalkeia no insta,PERSEGUICAO
um ex fica me perseguindo no zap,PERSEGUICAO
alguém fica me esperando na saída,PERSEGUICAO
me perseguem no metrô,PERSEGUICAO
um carro estranho me segue,PERSEGUICAO
um cara me ronda na escola,PERSEGUICAO
me perseguem no shopping,PERSEGUICAO
um colega fica olhando tudo q faço,PERSEGUICAO
um cara me segue até em outra cidade,PERSEGUICAO
alguém me vigia sempre,PERSEGUICAO
um vizinho fica na minha porta,PERSEGUICAO
um cara me manda msg todo dia,PERSEGUICAO
um estranho fica no meu portão,PERSEGUICAO
um ex namorado me segue,PERSEGUICAO
um homem aparece na frente do trabalho,PERSEGUICAO
me perseguem até no mercado,PERSEGUICAO
um colega me segue na rua,PERSEGUICAO
me stalkeiam em todas redes,PERSEGUICAO
um vizinho me vigia,PERSEGUICAO
um cara fica no meu prédio,PERSEGUICAO
me perseguem desde a escola,PERSEGUICAO
um estranho me segue em todo lugar,PERSEGUICAO
um homem me espera no ponto,PERSEGUICAO
um colega fica atrás de mim sempre,PERSEGUICAO
um carro fica rodando minha rua,PERSEGUICAO
um cara aparece na minha igreja,PERSEGUICAO
me seguem até academia,PERSEGUICAO
um homem não para de me ligar,PERSEGUICAO
me perseguem até no mercado,PERSEGUICAO
um cara fica no portão de casa,PERSEGUICAO
um estranho fica olhando pra mim,PERSEGUICAO
um vizinho me segue sempre,PERSEGUICAO
um colega aparece em todo canto,PERSEGUICAO
me perseguem até em outra cidade,PERSEGUICAO
um cara fica de tocaia,PERSEGUICAO
me mandam msg sem parar,PERSEGUICAO
um ex aparece todo dia,PERSEGUICAO
um estranho fica me rondando,PERSEGUICAO
um vizinho me segue quando saio,PERSEGUICAO
um cara fica atrás de mim no trabalho,PERSEGUICAO
me perseguem na faculdade,PERSEGUICAO
um estranho aparece na rua sempre,PERSEGUICAO
um cara fica me stalkeando,PERSEGUICAO
um homem fica de olho em mim,PERSEGUICAO
caí em um golpe de pix,ESTELIONATO
me enganaram pedindo transferência,ESTELIONATO
um falso vendedor sumiu com meu dinheiro,ESTELIONATO
caí num golpe do marketplace,ESTELIONATO
fui enganado numa compra online,ESTELIONATO
fizeram cobrança falsa,ESTELIONATO
me mandaram boleto fraudado,ESTELIONATO
vendi produto e não me pagaram,ESTELIONATO
mandaram link de golpe,ESTELIONATO
um falso amigo pediu dinheiro e sumiu,ESTELIONATO
venderam produto falso pra mim,ESTELIONATO
me aplicaram o golpe do pix,ESTELIONATO
caí no golpe do bilhete premiado,ESTELIONATO
um falso corretor me enganou,ESTELIONATO
fiz transferência e não recebi nada,ESTELIONATO
comprei online e nunca entregaram,ESTELIONATO
me mandaram link falso de pagamento,ESTELIONATO
cobrança de dívida que não existe,ESTELIONATO
me pediram dinheiro e sumiram,ESTELIONATO
me enganaram com boleto falso,ESTELIONATO
mandaram mensagem fingindo ser banco,ESTELIONATO
me ofereceram produto que não existia,ESTELIONATO
comprei ingresso falso,ESTELIONATO
me passaram troco falso,ESTELIONATO
me pediram depósito adiantado,ESTELIONATO
golpe do falso parente pedindo dinheiro,ESTELIONATO
comprei celular e era réplica,ESTELIONATO
me enganaram com nota promissória,ESTELIONATO
fizeram compra no meu cartão sem eu saber,ESTELIONATO
um falso funcionário pediu dados bancários,ESTELIONATO
caí no golpe do empréstimo fácil,ESTELIONATO
me enganaram com compra online,ESTELIONATO
um falso vendedor me passou a perna,ESTELIONATO
recebi boleto falso,ESTELIONATO
me pediram dinheiro e sumiram,ESTELIONATO
caí em golpe no marketplace,ESTELIONATO
um cara se passou por banco,ESTELIONATO
comprei produto e não recebi,ESTELIONATO
me enganaram com falso prêmio,ESTELIONATO
golpe do pix no insta,ESTELIONATO
mandaram cobrança falsa,ESTELIONATO
me pediram transferência falsa,ESTELIONATO
um cara fingiu ser amigo e pediu grana,ESTELIONATO
golpe do cartão clonado,ESTELIONATO
recebi ligação falsa do banco,ESTELIONATO
caí no golpe do ingresso,ESTELIONATO
me passaram cheque sem fundo,ESTELIONATO
um falso funcionário me enganou,ESTELIONATO
comprei celular falso,ESTELIONATO
me enganaram com pix errado,ESTELIONATO
golpe da compra falsa,ESTELIONATO
um cara pediu adiantamento e sumiu,ESTELIONATO
me pediram depósito enganoso,ESTELIONATO
vendi produto e não pagaram,ESTELIONATO
mandaram link fraudulento,ESTELIONATO
golpe do falso parente,ESTELIONATO
caí no golpe do bilhete,ESTELIONATO
me passaram produto falso,ESTELIONATO
recebi cobrança inexistente,ESTELIONATO
me enganaram com site fake,ESTELIONATO
golpe no OLX,ESTELIONATO
caí no golpe do emprego falso,ESTELIONATO
um cara se passou por correio,ESTELIONATO
me pediram senha bancária,ESTELIONATO
mandaram mensagem de banco falso,ESTELIONATO
comprei ingresso e era falso,ESTELIONATO
golpe de whatsapp clonado,ESTELIONATO
me enganaram com promessa falsa,ESTELIONATO
um cara fingiu ser suporte,ESTELIONATO
me venderam coisa falsificada,ESTELIONATO
golpe da pirâmide,ESTELIONATO
caí em golpe de investimento,ESTELIONATO
um amigo falso pediu grana,ESTELIONATO
me enganaram em compra virtual,ESTELIONATO
golpe no pix do mercado,ESTELIONATO
me pediram pix e sumiram,ESTELIONATO
golpe do falso site,ESTELIONATO
recebi e-mail com cobrança falsa,ESTELIONATO
me enganaram no cartão,ESTELIONATO
um falso corretor aplicou golpe,ESTELIONATO
meu marido me bateu,VIOLENCIA_DOMESTICA
sofri agressão do meu parceiro,VIOLENCIA_DOMESTICA
apanhei dentro de casa,VIOLENCIA_DOMESTICA
meu companheiro me agrediu fisicamente,VIOLENCIA_DOMESTICA
me ameaçaram em casa,VIOLENCIA_DOMESTICA
estou sofrendo violência doméstica,VIOLENCIA_DOMESTICA
apanhei do meu esposo,VIOLENCIA_DOMESTICA
meu namorado me bateu,VIOLENCIA_DOMESTICA
apanhei do pai dos meus filhos,VIOLENCIA_DOMESTICA
estou sendo agredida dentro de casa,VIOLENCIA_DOMESTICA
apanhei do meu companheiro,VIOLENCIA_DOMESTICA
meu marido me empurrou contra a parede,VIOLENCIA_DOMESTICA
sofri violência física em casa,VIOLENCIA_DOMESTICA
meu namorado me deu um soco,VIOLENCIA_DOMESTICA
apanhei do meu parceiro,VIOLENCIA_DOMESTICA
me ameaçaram dentro de casa,VIOLENCIA_DOMESTICA
meu marido me bate sempre,VIOLENCIA_DOMESTICA
estou sendo agredida pelo companheiro,VIOLENCIA_DOMESTICA
apanhei do pai dos meus filhos,VIOLENCIA_DOMESTICA
meu esposo me deu tapa no rosto,VIOLENCIA_DOMESTICA
apanhei do namorado em casa,VIOLENCIA_DOMESTICA
meu parceiro tentou me enforcar,VIOLENCIA_DOMESTICA
fui chutada dentro de casa,VIOLENCIA_DOMESTICA
meu marido me puxou pelo cabelo,VIOLENCIA_DOMESTICA
sofri socos e chutes do meu companheiro,VIOLENCIA_DOMESTICA
apanhei dentro de casa na frente dos filhos,VIOLENCIA_DOMESTICA
meu parceiro me ameaçou com faca,VIOLENCIA_DOMESTICA
apanhei do companheiro várias vezes,VIOLENCIA_DOMESTICA
meu esposo tentou me sufocar,VIOLENCIA_DOMESTICA
sofri violência psicológica e física em casa,VIOLENCIA_DOMESTICA
meu marido me agrediu de novo,VIOLENCIA_DOMESTICA
apanhei do namorado ontem,VIOLENCIA_DOMESTICA
meu parceiro me deu soco,VIOLENCIA_DOMESTICA
sofri tapa dentro de casa,VIOLENCIA_DOMESTICA
meu esposo me bate sempre,VIOLENCIA_DOMESTICA
apanhei na frente dos filhos,VIOLENCIA_DOMESTICA
meu companheiro me chutou,VIOLENCIA_DOMESTICA
apanhei do marido com violência,VIOLENCIA_DOMESTICA
meu namorado me agrediu na rua,VIOLENCIA_DOMESTICA
apanhei do parceiro várias vezes,VIOLENCIA_DOMESTICA
meu esposo me puxou pelo cabelo,VIOLENCIA_DOMESTICA
sofri agressão em casa,VIOLENCIA_DOMESTICA
meu companheiro tentou me enforcar,VIOLENCIA_DOMESTICA
apanhei com socos do marido,VIOLENCIA_DOMESTICA
meu namorado tentou me sufocar,VIOLENCIA_DOMESTICA
apanhei do pai dos meus filhos de novo,VIOLENCIA_DOMESTICA
meu parceiro me deu chute forte,VIOLENCIA_DOMESTICA
apanhei dentro de casa sem parar,VIOLENCIA_DOMESTICA
meu esposo me ameaçou com faca,VIOLENCIA_DOMESTICA
sofri violência dentro de casa,VIOLENCIA_DOMESTICA
apanhei do namorado violento,VIOLENCIA_DOMESTICA
meu marido me bateu feio,VIOLENCIA_DOMESTICA
apanhei do companheiro ontem,VIOLENCIA_DOMESTICA
meu parceiro me deu tapas fortes,VIOLENCIA_DOMESTICA
apanhei dentro do lar,VIOLENCIA_DOMESTICA
meu esposo me socou,VIOLENCIA_DOMESTICA
apanhei e fiquei machucada,VIOLENCIA_DOMESTICA
meu companheiro me agrediu com violência,VIOL
